Región,Circunscripción,Distrito,Comunas
Arica y Parinacota,I Arica y Parinacota,1,Arica
Arica y Parinacota,I Arica y Parinacota,1,Camarones
Arica y Parinacota,I Arica y Parinacota,1,General Lagos
Arica y Parinacota,I Arica y Parinacota,1,Putre
Tarapacá,II Tarapacá,2,Alto Hospicio
Tarapacá,II Tarapacá,2,Camiña
Tarapacá,II Tarapacá,2,Colchane
Tarapacá,II Tarapacá,2,Huara
Tarapacá,II Tarapacá,2,Iquique
Tarapacá,II Tarapacá,2,Pica
Tarapacá,II Tarapacá,2,Pozo Almonte
Antofagasta,III Antofagasta,3,Calama
Antofagasta,III Antofagasta,3,María Elena
Antofagasta,III Antofagasta,3,Ollagüe
Antofagasta,III Antofagasta,3,San Pedro de Atacama
Antofagasta,III Antofagasta,3,Tocopilla
Antofagasta,III Antofagasta,3,Antofagasta
Antofagasta,III Antofagasta,3,Mejillones
Antofagasta,III Antofagasta,3,Sierra Gorda
Antofagasta,III Antofagasta,3,Taltal
Atacama,IV Atacama,4,Chañaral
Atacama,IV Atacama,4,Copiapó
Atacama,IV Atacama,4,Diego de Almagro
Atacama,IV Atacama,4,Alto del Carmen
Atacama,IV Atacama,4,Caldera
Atacama,IV Atacama,4,Huasco
Atacama,IV Atacama,4,Freirina
Atacama,IV Atacama,4,Tierra Amarilla
Atacama,IV Atacama,4,Vallenar
Coquimbo,V Coquimbo,5,Andacollo
Coquimbo,V Coquimbo,5,La Higuera
Coquimbo,V Coquimbo,5,La Serena
Coquimbo,V Coquimbo,5,Paihuano
Coquimbo,V Coquimbo,5,Vicuña
Coquimbo,V Coquimbo,5,Coquimbo
Coquimbo,V Coquimbo,5,Ovalle
Coquimbo,V Coquimbo,5,Río Hurtado
Coquimbo,V Coquimbo,5,Canela
Coquimbo,V Coquimbo,5,Combarbalá
Coquimbo,V Coquimbo,5,Illapel
Coquimbo,V Coquimbo,5,Los Vilos
Coquimbo,V Coquimbo,5,Monte Patria
Coquimbo,V Coquimbo,5,Punitaqui
Coquimbo,V Coquimbo,5,Salamanca
Valparaíso,VI Valparaíso,6,Cabildo
Valparaíso,VI Valparaíso,6,La Calera
Valparaíso,VI Valparaíso,6,Hijuelas
Valparaíso,VI Valparaíso,6,La Cruz
Valparaíso,VI Valparaíso,6,La Ligua
Valparaíso,VI Valparaíso,6,Nogales
Valparaíso,VI Valparaíso,6,Papudo
